code,name,category,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
8591,CREST BUILDER HOLDINGS BERHAD,Construction,2018-12-01,10,0.765,0.555,1.14,3.02,7.0,0.11,14.38,0.04,5.88,3.61,15.43,0.76,0.81,7.69,2.23,15.17,8.7,7.01,5.87,92.91,5.87,15.27,19.2,10.79,24.01,18.08,19.2,4.69,4.46,4.34,4.69,19.53,1,0,0,5+6+10,+,4+5+10,6+7+8+9,330,595,0.09,0.41,25,164
8605,FEDERAL INTERNATIONAL HOLDINGS BERHAD,Consumer Products & Services,2019-06-01,9,0.35,0.1,0.5,0.9857,5.0,0.07,20.0,0.0,0.0,7.47,10.93,0.03,0.05,3.83,7.25,42.0,24.62,16.97,1.86,-12.37,1.86,12.7,6.8,4.02,6.33,5.38,0.0,0.46,1.38,0.83,0.0,2.51,1,0,0,6,+,2+3+5+6,5+9,40,204,0.0,0.03,0,9
8613,ENRA GROUP BERHAD,Property,2019-03-01,10,0.985,0.9,1.46,0.9,-6.0,-0.16,-16.24,0.01,1.27,-18.17,-18.11,0.2,0.49,-0.42,-80.0,54.0,-13.0,35.52,0.0,0.0,0.0,0.0,-2.01,7.81,-11.46,-5.61,-2.01,0.45,1.51,0.91,0.45,2.23,0,0,0,2+9+10,1+3+8,1+2+3+7+8+9+10,2+4+5+6,21,165,0.03,-0.18,20,15
8621,LPI CAPITAL BHD,Financial Services,2019-12-01,10,13.3,9.9,16.28,4.3049,16.0,0.81,6.09,0.7,5.26,18.84,15.62,0.03,0.02,28.37,14.89,37.66,26.28,26.29,2.57,-9.66,2.57,9.71,4.18,1.29,4.91,5.3,4.18,3.03,4.13,3.83,3.03,70.0,1,0,0,3,+,3,4+9,583,1222,0.35,0.81,381,52
8648,JASA KITA BERHAD,Industrial Products & Services,2019-03-01,9,0.085,0.065,0.115,0.15,-4.0,-0.02,-23.53,0.0,0.0,-15.33,-16.14,0.0,0.0,0.2,-6.0,18.5,6.25,15.7,0.0,0.0,0.0,0.0,1.73,7.16,-5.56,-2.16,0.0,3.62,2.08,1.25,0.0,28.54,0,0,0,2+3+4+6+8,1+2+3,1+2+3+4+6+8+9,1+2+7,60,34,0.01,-0.02,7,-7
8664,S P SETIA BERHAD,Property,2019-12-01,10,0.77,0.55,2.25,2.99,9.0,0.09,11.69,0.01,1.3,2.87,1.74,0.72,0.72,13.83,11.18,32.0,21.59,20.85,0.0,-41.24,-17.65,-8.22,5.26,1.63,5.1,5.79,5.26,4.27,4.77,4.96,4.27,33.77,1,0,0,2+3+10,+,1+2+3+5+7+10,10,1408,3929,0.11,0.05,0,1171
8672,KAMDAR GROUP (M) BERHAD,Consumer Products & Services,2019-03-01,9,0.175,0.12,0.38,1.12,185.0,0.0,0.0,0.0,0.0,0.08,0.1,0.2,0.21,4.64,-15.75,35.0,9.62,11.49,0.0,-56.0,-49.54,-27.65,10.06,10.27,-1.16,3.36,0.0,2.95,0.0,3.06,0.0,0.0,0,0,0,1+2+3+4+5+9,2,1+2+3+4+8+9,2,194,117,0.12,0.0,21,9
8702,TEXCHEM RESOURCES BERHAD,Industrial Products & Services,2018-12-01,9,0.335,0.195,0.67,1.9506,-6.0,-0.06,-17.91,0.0,0.0,-2.85,-2.44,0.18,0.07,0.5,-24.0,182.0,79.0,49.52,0.0,0.0,0.0,0.0,4.63,16.16,-3.76,-1.05,0.0,5.38,8.2,8.34,0.0,69.1,0,0,1,3+6+7+9,1+2+8+9,1+2+3+5+6+7+8+9,+,1059,1131,0.0,-0.05,21,37
8745,LEWEKO RESOURCES BERHAD,Industrial Products & Services,2019-06-01,9,0.15,0.06,0.26,0.2,-2.0,-0.07,-46.67,0.0,0.0,-32.65,-33.65,0.07,0.08,-21.44,-24.0,8.0,-8.0,8.0,0.0,0.0,0.0,0.0,-17.76,26.62,-21.52,-17.91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2+4+6+7+8+9,1+2+3+4+5+6+7+9,1+2+3+4+5+6+7+8+9,2+3+4+5+9,74,39,0.02,-0.08,-15,8
8761,BREM HOLDING BERHAD,Construction,2019-03-01,10,0.68,0.52,0.8,1.7,7.0,0.1,14.71,0.04,5.88,6.01,2.66,0.09,0.12,18.76,7.95,87.5,47.72,22.87,0.0,-3.91,-16.14,-1.79,7.0,3.64,6.31,7.21,7.0,1.98,2.01,2.01,1.98,42.41,1,0,1,1+5+7+10,+,1+3+4+7+8+10,+,107,122,0.04,0.04,25,2
