code,name
5105,CAN-ONE BERHAD
5106,AXIS REAL ESTATE INVESTMENT TRUST
5107,IQ GROUP HOLDINGS BERHAD
5108,ICAPITAL.BIZ BERHAD
5109,YTL HOSPITALITY REIT
5110,UOA REAL ESTATE INVESTMENT TRUST
5111,TOWER REAL ESTATE INVESTMENT TRUST
5112,TH PLANTATIONS BERHAD
5113,RIMBUNAN SAWIT BERHAD
5115,ALAM MARITIM RESOURCES BERHAD
5116,AL-AQAR HEALTHCARE REIT
5120,AMFIRST REAL ESTATE INVESTMENT TRUST
5121,HEKTAR REAL ESTATE INVESTMENT TRUST
5123,QUILL CAPITA TRUST
5125,PANTECH GROUP HOLDINGS BERHAD
5126,SARAWAK OIL PALMS BERHAD
5127,AMANAHRAYA REAL ESTATE INVESTMENT TRUST
5129,MELATI EHSAN HOLDINGS BERHAD
5130,ATRIUM REAL ESTATE INVESTMENT TRUST
5131,ZHULIAN CORPORATION BERHAD
5132,DELEUM BERHAD
5133,PETRA ENERGY BERHAD
5134,SOUTHERN ACIDS (M) BERHAD
5135,SARAWAK PLANTATION BERHAD
5136,COMPLETE LOGISTIC SERVICES BERHAD
5138,HAP SENG PLANTATIONS HOLDINGS BERHAD
5139,AEON CREDIT SERVICE (M) BERHAD
5140,TASCO BERHAD
5141,DAYANG ENTERPRISE HOLDINGS BERHAD
5142,WAH SEONG CORPORATION BERHAD
5143,LUXCHEM CORPORATION BERHAD
5145,SEALINK INTERNATIONAL BERHAD
5147,SAMCHEM HOLDINGS BERHAD
5148,UEM SUNRISE BERHAD
5149,TAS OFFSHORE BERHAD
5151,HEXTAR GLOBAL BERHAD
5152,MUAR BAN LEE GROUP BERHAD
5156,XIDELANG HOLDINGS LTD
5157,SAUDEE GROUP BERHAD
5159,YOONG ONN CORPORATION BERHAD
5160,HOMERITZ CORPORATION BERHAD
5161,JCY INTERNATIONAL BERHAD
5162,VSTECS BERHAD
5163,SEREMBAN ENGINEERING BERHAD
5165,HOCK HENG STONE INDUSTRIES BHD
5166,MINDA GLOBAL BERHAD
5167,TURBO-MECH BERHAD
5168,HARTALEGA HOLDINGS BERHAD
5169,HO HUP CONSTRUCTION COMPANY BHD
5170,SARAWAK CABLE BERHAD
5171,KIMLUN CORPORATION BERHAD
5172,K-STAR SPORTS LIMITED
5173,SHIN YANG SHIPPING CORPORATION BERHAD
5175,IVORY PROPERTIES GROUP BERHAD
5176,SUNWAY REAL ESTATE INVESTMENT TRUST
5178,DYNACIATE GROUP BERHAD
5180,CAPITALAND MALAYSIA MALL TRUST
5182,MCT BERHAD
5183,PETRONAS CHEMICALS GROUP BERHAD
5184,CYPARK RESOURCES BERHAD
5185,AFFIN BANK BERHAD
5186,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD
5187,HB GLOBAL LIMITED
5188,CHINA OUHUA WINERY HOLDINGS LIMITED
5190,BENALEC HOLDINGS BERHAD
5191,TAMBUN INDAH LAND BERHAD
5192,K.SENG SENG CORPORATION BERHAD
5195,CENSOF HOLDINGS BERHAD
5196,BERJAYA FOOD BERHAD
5197,FOCUS LUMBER BERHAD
5198,ABM FUJIYA BERHAD
5199,HIBISCUS PETROLEUM BERHAD
5200,UOA DEVELOPMENT BHD
5202,MSM MALAYSIA HOLDINGS BERHAD
5204,PRESTARIANG BERHAD
5205,EVERSENDAI CORPORATION BERHAD
5207,SBC CORPORATION BERHAD
5208,EITA RESOURCES BERHAD
5209,GAS MALAYSIA BERHAD
5210,BUMI ARMADA BERHAD
5211,SUNWAY BERHAD
5212,PAVILION REAL ESTATE INV TRUST
5213,SENTORIA GROUP BERHAD
5216,DATASONIC GROUP BERHAD
5218,SAPURA ENERGY BERHAD
5219,PESTECH INTERNATIONAL BERHAD
5220,GLOBALTEC FORMATION BERHAD
5222,FGV HOLDINGS BERHAD
5223,MENTIGA CORPORATION BERHAD
5225,IHH HEALTHCARE BERHAD
5226,GABUNGAN AQRS BERHAD
5227,IGB REAL ESTATE INVESTMENT TRUST
5228,ELK-DESA RESOURCES BERHAD
5229,CHINA AUTOMOBILE PARTS HOLDINGS LIMITED
5230,TUNE PROTECT GROUP BERHAD
5231,PELIKAN INTERNATIONAL CORPORATION BERHAD
5232,LEON FUAT BERHAD
5235SS,KLCC REAL ESTATE INVESTMENT TRUST
5236,MATRIX CONCEPTS HOLDINGS BERHAD
5237,MPHB Capital Berhad
5238,AirAsia X Berhad
5239,TITIJAYA LAND BERHAD
5242,SOLID AUTOMOTIVE BERHAD
5243,VELESTO ENERGY BERHAD
5246,WESTPORTS HOLDINGS BERHAD
5247,KAREX BERHAD
5248,BERMAZ AUTO BERHAD
5249,IOI PROPERTIES GROUP BERHAD
5250,7-ELEVEN MALAYSIA HOLDINGS BERHAD
5252,SASBADI HOLDINGS BERHAD
5253,ECONPILE HOLDINGS BERHAD
5254,BOUSTEAD PLANTATIONS BERHAD
5255,ICON OFFSHORE BERHAD
5256,REACH ENERGY BERHAD
5257,CARIMIN PETROLEUM BERHAD
5258,BIMB HOLDINGS BERHAD
5259,E.A.TECHNIQUE (M) BERHAD
5260,ONLY WORLD GROUP HOLDINGS BERHAD
5263,SUNWAY CONSTRUCTION GROUP BERHAD
5264,MALAKOFF CORPORATION BERHAD
5265,DOLPHIN INTERNATIONAL BERHAD
5267,XIN HWA HOLDINGS BERHAD
5268,IKHMAS JAYA GROUP BERHAD
5269,AL-SALAM REAL ESTATE INVESTMENT TRUST
5270,RED SENA BERHAD
5271,PECCA GROUP BERHAD
5272,RANHILL HOLDINGS BERHAD
5273,CHIN HIN GROUP BERHAD
5274,HONG LEONG CAPITAL BERHAD
5275,MYNEWS HOLDINGS BERHAD
5276,DANCOMECH HOLDINGS BERHAD
5277,FOUNDPAC GROUP BERHAD
5278,RHONE MA HOLDINGS BERHAD
5279,SERBA DINAMIK HOLDINGS BERHAD
5280,KIP REAL ESTATE INVESTMENT TRUST
5281,ADVANCECON HOLDINGS BERHAD
5283,ECO WORLD INTERNATIONAL BERHAD
5284,LOTTE CHEMICAL TITAN HOLDING BERHAD
5285,SIME DARBY PLANTATION BERHAD
5286,MI TECHNOVATION BERHAD
5288,SIME DARBY PROPERTY BERHAD
5289,TECHBOND GROUP BERHAD
5291,HPMT HOLDINGS BERHAD
5292,UWC BERHAD
5293,AME ELITE CONSORTIUM BERHAD
5295,INNATURE BERHAD
