code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2
3298,Industrial Products & Services,1.16,0.59,2.26,1.32,14.0,0.08,6.9,0.08,6.47,6.3,6.82,0.0,0.0
3301,Consumer Products & Services,8.15,6.04,9.98,5.54,17.0,0.48,5.89,0.42,5.15,8.63,10.24,0.01,0.01
3379,Financial Services,0.925,0.35,1.02,2.73,10.0,0.09,9.73,0.02,2.16,3.29,0.85,0.02,0.02
3395,Industrial Products & Services,0.18,0.163,0.27399999999999997,1.2483,-7.0,-0.02,-11.11,0.0,0.0,-1.93,-1.69,0.76,0.76
3441,Financial Services,0.175,0.03,0.27,0.0609,-8.0,-0.02,-11.43,0.0,0.0,-35.96,-24.74,6.66,4.84
3476,Industrial Products & Services,3.66,3.3,4.62,6.06,450.0,0.01,0.27,0.0,0.0,0.13,3.93,0.08,0.0
3514,Consumer Products & Services,0.125,0.08,0.185,0.2,9.0,0.01,8.0,0.0,2.4,6.8,7.88,0.02,0.02
3662,Consumer Products & Services,0.995,0.335,1.06,1.05,-117.0,-0.01,-1.01,0.03,3.02,-0.81,4.52,0.24,0.22
3689,Consumer Products & Services,29.76,24.12,33.7,7.75,26.0,1.14,3.83,0.6,2.02,14.73,15.72,0.0,0.0
3719,Consumer Products & Services,30.1,22.82,34.44,12.23,19.0,1.59,5.28,1.98,6.58,13.0,14.15,0.0,0.0
3778,Industrial Products & Services,0.5,0.09,0.62,0.93,33.0,0.02,4.0,0.0,0.0,1.63,-0.44,0.09,0.09
3794,Industrial Products & Services,2.36,1.3,3.85,2.69,-15.0,-0.15,-6.36,0.0,0.0,-5.75,-11.84,0.2,0.11
3816,Transportation & Logistics,6.59,5.96,8.55,7.23,-684.0,-0.01,-0.15,0.33,5.01,-0.13,4.07,0.31,0.22
3859,Consumer Products & Services,2.22,1.683,2.5639999999999996,1.71,27.0,0.08,3.6,0.16,7.14,4.82,9.71,0.31,0.27
