code,name,Price,EPS,52w low,52w high,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,P/E mid,DPayout avg,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,Price A5,Price A10,Price B
0066,VSOLAR GROUP BERHAD,0.05,-0.01,0.015,0.245,0.0,0.0,0.0,-7.25,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.09
0066,VSOLAR GROUP BERHAD,0.05,-0.01,0.015,0.245,0.0,0.0,0.0,-7.25,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.09
0066,VSOLAR GROUP BERHAD,0.05,-0.01,0.015,0.245,0.0,0.0,0.0,-7.25,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.09
0068,ASDION BERHAD,0.12,-0.03,0.06,0.23,0.0,0.0,0.0,-3.88,0.0,-0.3,-0.3,-0.3,-0.22,-0.22,-0.22,0.12
0068,ASDION BERHAD,0.12,-0.03,0.06,0.23,0.0,0.0,0.0,-3.88,0.0,-0.3,-0.3,-0.3,-0.22,-0.22,-0.22,0.12
0068,ASDION BERHAD,0.12,-0.03,0.06,0.23,0.0,0.0,0.0,-3.88,0.0,-0.3,-0.3,-0.3,-0.22,-0.22,-0.22,0.12
0068,ASDION BERHAD,0.12,-0.03,0.06,0.23,0.0,0.0,0.0,-3.88,0.0,-0.3,-0.3,-0.3,-0.22,-0.22,-0.22,0.12
0069,VIVOCOM INTL HOLDINGS BERHAD,0.025,0.0,0.015,0.025,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
0070,MQ TECHNOLOGY BERHAD,0.03,-0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.02
0070,MQ TECHNOLOGY BERHAD,0.03,-0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.02
0070,MQ TECHNOLOGY BERHAD,0.03,-0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.02
0070,MQ TECHNOLOGY BERHAD,0.03,-0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.02
0072,AT SYSTEMATIZATION BERHAD,0.145,-0.01,0.015,0.195,0.0,0.0,0.0,-0.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.07
0074,GREEN OCEAN CORPORATION BERHAD,0.145,-0.02,0.075,0.15,81.71,0.0,0.0,-5.25,0.0,-0.02,-0.2,-0.2,-0.02,-0.15,-0.15,0.1
0075,LYC HEALTHCARE BERHAD,0.37,-0.02,0.12,0.54,0.0,0.0,0.0,-5.25,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.26
0078,GD EXPRESS CARRIER BERHAD,0.365,0.0,0.115,0.445,-4.46,3.46,27.62,90.25,37.02,0.0,0.0,0.0,0.0,0.0,0.0,0.22
0079,ORION IXL BERHAD,0.05,-0.0,0.03,0.15,0.0,8.8,-9.61,-13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
0080,STRAITS INTER LOGISTICS BERHAD,0.18,0.01,0.13,0.26,262.76,0.0,0.0,5.25,0.0,0.0,0.1,0.1,0.0,0.08,0.08,0.17
0081,MEGA SUN CITY HOLDINGS BERHAD,0.095,-0.0,0.035,0.18,-39.59,-39.44,21.77,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
0082,GREEN PACKET BERHAD,0.69,-0.04,0.345,1.65,0.0,0.0,0.0,-3.76,0.0,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,0.78
0083,NOTION VTEC BERHAD,0.675,0.05,0.273,0.92,2.33,0.0,-16.7,20.34,13.28,0.49,0.57,1.68,0.37,0.43,1.26,0.49
0084,TECHFAST HOLDINGS BERHAD,0.39,0.02,0.19,0.575,2.62,83.02,0.0,23.12,80.36,0.29,0.04,0.36,0.22,0.03,0.27,0.32
0085,MLABS SYSTEMS BERHAD,0.035,-0.0,0.01,0.075,0.0,0.0,0.0,-5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
0086,YGL CONVERGENCE BERHAD,0.12,-0.01,0.09,0.2,0.0,0.0,0.0,-21.75,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.13
0089,TEX CYCLE TECHNOLOGY (M) BERHAD,0.4,0.01,0.14,0.51,-31.08,8.12,-2.67,29.84,17.1,0.83,0.07,0.16,0.62,0.05,0.12,0.26
0090,ELSOFT RESEARCH BERHAD,0.615,0.02,0.385,1.08,-18.76,-3.84,26.08,42.84,59.55,1.12,0.43,0.11,0.84,0.32,0.08,0.61
0090,ELSOFT RESEARCH BERHAD,0.615,0.02,0.385,1.08,-18.76,-3.84,26.08,42.84,59.55,1.12,0.43,0.11,0.84,0.32,0.08,0.61
0090,ELSOFT RESEARCH BERHAD,0.615,0.02,0.385,1.08,-18.76,-3.84,26.08,42.84,59.55,1.12,0.43,0.11,0.84,0.32,0.08,0.61
0090,ELSOFT RESEARCH BERHAD,0.615,0.02,0.385,1.08,-18.76,-3.84,26.08,42.84,59.55,1.12,0.43,0.11,0.84,0.32,0.08,0.61
0091,DAYA MATERIALS BERHAD,0.005,-0.02,0.005,0.015,0.0,0.0,0.0,4.25,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.01
0092,MTOUCHE TECHNOLOGY BERHAD,0.06,-0.03,0.055,0.205,0.0,0.0,0.0,-4.0,0.0,-0.3,-0.3,-0.3,-0.22,-0.22,-0.22,0.1
0093,SOLUTION GROUP BERHAD,0.08,-0.0,0.045,0.13,0.0,0.0,0.0,5.5,22.51,0.0,0.0,0.0,0.0,0.0,0.0,0.07
0095,XINGHE HOLDINGS BERHAD,0.25,-0.17,0.155,0.28,0.0,0.0,0.0,-1.03,0.0,-1.7,-1.7,-1.7,-1.27,-1.27,-1.27,0.2
0095,XINGHE HOLDINGS BERHAD,0.25,-0.17,0.155,0.28,0.0,0.0,0.0,-1.03,0.0,-1.7,-1.7,-1.7,-1.27,-1.27,-1.27,0.2
0095,XINGHE HOLDINGS BERHAD,0.25,-0.17,0.155,0.28,0.0,0.0,0.0,-1.03,0.0,-1.7,-1.7,-1.7,-1.27,-1.27,-1.27,0.2
0095,XINGHE HOLDINGS BERHAD,0.25,-0.17,0.155,0.28,0.0,0.0,0.0,-1.03,0.0,-1.7,-1.7,-1.7,-1.27,-1.27,-1.27,0.2
0096,NEXGRAM HOLDINGS BERHAD,0.025,-0.01,0.005,0.035,0.0,0.0,0.0,3.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.01
0096,NEXGRAM HOLDINGS BERHAD,0.025,-0.01,0.005,0.035,0.0,0.0,0.0,3.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.01
0096,NEXGRAM HOLDINGS BERHAD,0.025,-0.01,0.005,0.035,0.0,0.0,0.0,3.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.01
0096,NEXGRAM HOLDINGS BERHAD,0.025,-0.01,0.005,0.035,0.0,0.0,0.0,3.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.01
0097,VITROX CORPORATION BERHAD,8.64,0.16,6.09,9.57,6.92,9.85,44.57,31.4,16.15,1.31,1.15,0.41,0.98,0.86,0.31,7.24
