code,nYear,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,ROE,ROE2,D/E,D/E2,P/E mid,EPS,EPS GR min,EY level,DY level,neg Revenue count,neg EPS count,neg OCF count,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health,3G2H,PE Value,EPS GR Value
5015,10,1179,1497,0.64,0.14,168,74,-0.77,2.17,0.01,0.01,14.5,-0.05,0.0,0,5,4,9,0,0.0,0.0,0.0,0.0,1.0,1.0,-0.73,-0.0
5011,10,322,314,0.19,-0.01,10,131,-9.01,-0.77,0.01,0.03,-49.2,-0.15,0.0,0,0,7,8,4,0.0,0.0,0.0,0.0,1.0,1.0,7.38,-0.0
6211,10,48,38,-0.07,-0.04,6,3,-10.11,-4.24,0.01,0.0,1.56,-0.08,0.0,0,0,5,9,0,0.0,0.0,0.0,0.0,1.0,1.0,-0.12,-0.0
6254,9,185,6,0.01,-0.02,15,-4,-34.0,-21.41,0.0,0.0,-2.41,-0.02,0.0,0,0,4,8,5,0.0,0.0,0.0,0.0,1.0,1.0,0.05,-0.0
0205,5,47,42,0.02,0.01,9,4,13.56,8.39,0.0,0.0,8.75,0.02,0.0,1,1,3,3,0,0.0,0.0,0.0,0.0,1.0,1.0,0.18,0.0
4944,10,1227,1136,0.07,-0.13,-6,93,-5.86,-7.4,0.11,0.14,-11.22,-0.1,0.0,0,0,4,6,4,0.0,0.0,0.0,0.0,1.0,1.0,1.12,-0.0
6459,10,1376,2322,0.29,0.17,133,54,6.95,6.05,0.13,0.14,-10.1,0.23,0.0,5,3,5,6,4,0.0,0.0,0.0,0.0,1.0,1.0,-2.32,0.0
6483,10,67,324,-0.09,0.04,710,23,9.85,2.97,0.21,0.14,31.08,0.14,3.23,3,5,6,6,3,0.0,0.0,0.0,0.0,1.0,1.0,4.35,0.45
6491,10,432,501,0.27,0.1,138,82,5.04,3.64,0.05,0.06,13.45,0.15,0.0,3,5,4,7,1,0.0,0.0,0.0,0.0,1.0,1.0,2.02,0.0
6521,10,255,275,0.16,0.15,215,104,2.96,4.77,0.0,0.0,8.58,0.09,0.0,3,5,5,7,0,0.0,0.0,0.0,0.0,1.0,1.0,0.77,0.0
6556,10,1832,2221,0.18,-0.17,-350,71,-8.71,-7.12,0.01,0.01,1.23,-0.18,0.0,0,0,4,8,4,0.0,0.0,0.0,0.0,1.0,1.0,-0.22,-0.0
6637,8,77,65,0.0,-0.03,5,-14,-5.65,-13.44,0.17,0.09,0.25,-0.01,0.0,0,0,5,7,4,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,-0.0
