code,ROE2,D/E,D/E2
8966,7.42,0.25,0.28
9008,14.4,0.07,0.07
9016,-8.09,0.03,0.02
9075,0.26,0.05,0.02
9083,-6.75,0.28,0.23
9091,1.36,0.05,0.05
9113,9.36,0.03,0.03
9121,2.42,0.11,0.14
9148,-0.49,0.0,0.0
9172,13.85,0.01,0.01
9199,6.04,0.0,0.0
9237,6.25,0.13,0.38
9288,0.75,0.2,0.21
9296,17.6,1.67,1.62
9318,1.26,0.05,0.07
9326,1.31,0.12,0.13
9334,0.03,0.01,0.01
9342,-2.39,0.0,0.0
9369,2.35,0.08,0.08
9377,-11.08,0.0,0.0
9385,1.01,0.29,0.32
9393,-15.32,0.03,0.0
9407,6.84,0.34,0.28
9423,3.02,0.02,0.02
9466,14.99,0.0,0.0
9474,-241.68,0.0,0.18
9601,-22.17,0.14,0.16
9741,5.35,0.09,0.09
9776,-0.89,0.68,0.31
9792,48.55,1.16,1.35
9806,-260.25,0.0,0.0
9822,13.94,0.08,0.09
9873,1.96,0.07,0.09
9881,-1.42,0.01,0.01
9938,-1.06,0.0,0.0
9946,-8.78,0.12,0.12
9954,7.81,0.06,0.05
9997,2.5,0.31,0.35
0140,-18.19,0.01,0.01
0166,13.41,0.0,0.0
3026,82.41,0.02,0.0
3379,0.85,0.02,0.02
5167,2.8,0.02,0.02
