code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
3417,Property,0.4,0.3,0.845,1.38,13.0,3.18,7.95,3.0,7.5,2.3
2097,Consumer Products & Services,0.07,0.035,0.115,0.58,-2.0,-4.0,-57.14,0.0,0.0,-6.9
2143,Financial Services,0.225,0.14,0.295,0.42,4.0,6.32,28.09,0.0,0.0,15.05
8206,Property,0.395,0.295,0.9,1.55,6.0,7.02,17.77,0.0,0.0,4.53
5283,Property,0.4,0.31,1.14,1.11,6.0,7.06,17.65,0.0,0.0,6.36
0059,Telecommunications & Media,0.16,0.075,0.235,0.3537,22.0,0.72,4.5,0.0,0.0,2.04
3557,Property,0.34,0.295,0.39,0.4355,12.0,2.88,8.47,0.0,0.0,6.61
5253,Construction,0.5,0.3,0.88,0.3,11.0,4.67,9.34,0.5,1.0,15.57
5036,Technology,0.34,0.115,0.605,0.4352,-3.0,-10.48,-30.82,0.0,0.0,-24.08
7471,Utilities,0.185,0.09,0.375,0.78,13.0,1.43,7.73,0.0,0.0,1.83
0064,Industrial Products & Services,0.135,0.05,0.205,0.17,-12.0,-1.15,-8.52,0.0,0.0,-6.76
8907,Industrial Products & Services,0.35,0.195,0.5,1.33,11.0,3.33,9.51,0.0,0.0,2.5
5208,Industrial Products & Services,1.16,1.02,1.6,1.38,6.0,19.43,16.75,6.0,5.17,14.08
7182,Consumer Products & Services,0.04,0.02,0.065,-0.11,-4.0,-0.9,-22.5,0.0,0.0,8.18
8877,Construction,0.495,0.285,0.95,0.96,9.0,5.46,11.03,1.0,2.02,5.69
9016,Industrial Products & Services,0.53,0.385,0.795,2.68,-27.0,-1.96,-3.7,0.0,0.0,-0.73
5228,Financial Services,1.35,1.09,1.77,1.41,11.0,12.4,9.19,7.0,5.19,8.79
0090,Technology,0.68,0.385,1.08,0.17,26.0,2.65,3.9,3.0,4.41,15.59
9091,Consumer Products & Services,0.16,0.08,0.25,0.43,7.0,2.35,14.69,0.0,0.0,5.47
6076,Property,0.19,0.185,0.4,1.18,-1.0,-15.14,-79.68,0.0,0.0,-12.83
7149,Consumer Products & Services,0.85,0.72,1.12,1.0,77.0,1.1,1.29,0.0,0.0,1.1
5056,Industrial Products & Services,0.63,0.46,0.865,1.58,-316.0,-0.2,-0.32,0.75,1.19,-0.13
8613,Property,0.99,0.9,1.52,0.9,-6.0,-16.35,-16.52,1.25,1.26,-18.17
7217,Industrial Products & Services,0.275,0.155,0.53,1.31,16.0,1.77,6.44,0.0,0.0,1.35
7773,Industrial Products & Services,0.28,0.21,0.37,1.66,-3.0,-9.2,-32.86,0.0,0.0,-5.54
5081,Consumer Products & Services,0.49,0.39,0.675,0.75,15.0,3.34,6.82,3.0,6.12,4.45
6815,Property,0.555,0.38,0.72,2.75,2.0,26.45,47.66,1.5,2.7,9.62
7208,Consumer Products & Services,0.72,0.08,0.98,0.2322,-15.0,-4.73,-6.57,0.0,0.0,-20.37
7094,Consumer Products & Services,0.45,0.32,0.5,0.9814,-13.0,-3.34,-7.42,0.0,0.0,-3.4
5101,Industrial Products & Services,0.17,0.09,0.34,1.38,-3.0,-4.97,-29.24,0.48,2.82,-3.6
5205,Construction,0.27,0.14,0.49,1.18,15.0,1.75,6.48,0.0,0.0,1.48
7249,Property,0.325,0.185,0.73,0.88,2.0,13.79,42.43,0.0,0.0,15.67
0065,Technology,0.515,0.23,0.745,0.16,49.0,1.06,2.06,1.0,1.94,6.63
2984,Industrial Products & Services,1.18,1.0,1.44,2.69,116.0,1.02,0.86,1.0,0.85,0.38
7047,Construction,0.29,0.14,0.45,0.8336,4.0,7.15,24.66,1.5,5.17,8.58
5029,Plantation,2.3,2.0,2.79,1.95,17.0,13.49,5.87,2.5,1.09,6.92
6041,Property,0.265,0.165,0.36,1.03,-7.0,-3.95,-14.91,0.0,0.0,-3.83
7229,Industrial Products & Services,2.22,1.71,3.02,3.19,6.0,36.32,16.36,13.5,6.08,11.39
2755,Consumer Products & Services,0.56,0.56,0.7,0.63,11.0,4.99,8.91,10.0,17.86,7.92
8605,Consumer Products & Services,0.375,0.1,0.5,0.9857,5.0,7.36,19.63,0.0,0.0,7.47
5222,Plantation,0.92,0.715,1.59,1.15,-14.0,-6.64,-7.22,0.0,0.0,-5.77
6939,Consumer Products & Services,0.48,0.35,0.54,1.01,9.0,5.11,10.65,2.0,4.17,5.06
0149,Industrial Products & Services,0.3,0.2,0.44,0.5,10.0,2.97,9.9,0.72,2.4,5.94
3107,Industrial Products & Services,1.4,1.01,1.96,2.32,17.0,8.44,6.03,12.5,8.93,3.64
9318,Industrial Products & Services,0.23,0.155,0.422,0.8246,24.0,0.96,4.17,0.0,0.0,1.16
5197,Industrial Products & Services,0.78,0.61,1.55,1.61,-12.0,-6.53,-8.37,0.0,0.0,-4.06
9172,Consumer Products & Services,1.31,1.08,1.8,1.25,8.0,16.88,12.89,11.0,8.4,13.5
5277,Industrial Products & Services,0.745,0.3,1.01,0.1692,26.0,2.86,3.84,1.2,1.61,16.9
3689,Consumer Products & Services,31.7,24.12,36.0,7.15,28.0,112.74,3.56,60.0,1.89,15.77
7210,Transportation & Logistics,0.49,0.38,0.69,1.04,11.0,4.58,9.35,3.5,7.14,4.4
0128,Technology,2.26,0.985,2.68,0.37,34.0,6.72,2.97,2.5,1.11,18.16
9377,Technology,0.1,0.03,0.1,0.04,-31.0,-0.32,-3.2,0.0,0.0,-8.0
7184,Consumer Products & Services,2.75,1.1,3.72,0.09,-75.0,-3.66,-1.33,0.0,0.0,-40.67
5226,Construction,0.865,0.595,1.54,1.04,11.0,7.79,9.01,4.9,5.66,7.49
9261,Construction,0.385,0.225,0.94,1.12,9.0,4.44,11.53,1.2,3.12,3.96
5398,Construction,3.27,2.36,4.3,3.34,12.0,28.24,8.64,12.0,3.67,8.46
5209,Utilities,2.81,2.3,2.96,0.7997,18.0,15.68,5.58,14.1,5.02,19.61
0078,Transportation & Logistics,0.33,0.115,0.36,0.09,72.0,0.46,1.39,0.25,0.76,5.11
0198,Construction,0.605,0.275,0.795,0.19,13.0,4.66,7.7,2.0,3.31,24.53
7197,Industrial Products & Services,0.47,0.28,0.65,1.24,-6.0,-7.9,-16.81,0.0,0.0,-6.37
3182,Consumer Products & Services,3.94,2.91,6.924,9.18,8.0,51.48,13.07,21.5,5.46,5.61
4715,Consumer Products & Services,2.26,1.83,3.862,3.27,10.0,23.5,10.4,19.0,8.41,7.19
2291,Plantation,9.17,7.99,11.14,5.43,58.0,15.83,1.73,13.0,1.42,2.92
3204,Construction,0.655,0.43,1.27,0.9256,9.0,7.38,11.27,7.0,10.69,7.97
5079,Consumer Products & Services,0.105,0.035,0.275,0.31,-3.0,-3.62,-34.48,0.0,0.0,-11.68
0021,Technology,2.05,1.04,2.1,0.6039,53.0,3.83,1.87,0.0,0.0,6.34
1147,Property,0.25,0.135,0.29,0.64,-2.0,-10.55,-42.2,0.0,0.0,-16.48
5220,Industrial Products & Services,0.355,0.18,0.515,0.88,-5.0,-7.13,-20.08,0.0,0.0,-8.1
7022,Technology,1.96,1.29,2.453,0.44,29.0,6.68,3.41,7.44,3.8,15.18
5020,Property,0.29,0.24,0.395,1.42,7.0,3.91,13.48,0.8,2.76,2.75
7382,Plantation,0.35,0.3,0.52,1.96,-3.0,-11.49,-32.83,0.0,0.0,-5.86
5649,Industrial Products & Services,0.17,0.1,0.305,0.47,-3.0,-6.3,-37.06,1.27,7.47,-13.4
7192,Industrial Products & Services,0.155,0.115,0.24,0.11,-1.0,-20.16,-130.06,0.0,0.0,-183.27
2135,Plantation,0.685,0.53,0.72,1.07,62.0,1.1,1.61,2.5,3.65,1.03
7096,Industrial Products & Services,0.085,0.07,0.145,0.11,1349.0,0.01,0.12,0.0,0.0,0.09
5592,Consumer Products & Services,0.39,0.3,0.5,1.08,-11.0,-3.4,-8.72,0.0,0.0,-3.15
7010,Property,0.5,0.345,0.635,1.08,-8.0,-6.57,-13.14,0.0,0.0,-6.08
0056,Technology,0.245,0.165,0.3,0.2,43.0,0.57,2.33,0.5,2.04,2.85
0082,Telecommunications & Media,1.21,0.31,1.27,0.29,-26.0,-4.67,-3.86,0.0,0.0,-16.1
0136,Consumer Products & Services,0.125,0.07,0.165,0.162,12.0,1.01,8.08,0.2,1.6,6.23
9962,Property,0.225,0.17,0.35,0.95,7.0,3.05,13.56,0.5,2.22,3.21
5102,Consumer Products & Services,2.42,1.5,4.197,0.9433,11.0,21.74,8.98,4.0,1.65,23.05
3247,Industrial Products & Services,0.335,0.16,0.52,1.83,19.0,1.81,5.4,0.0,0.0,0.99
7676,Transportation & Logistics,0.555,0.255,0.655,0.376,-11.0,-4.83,-8.7,0.0,0.0,-12.85
1503,Property,0.575,0.37,0.75,1.8738,-9.0,-6.21,-10.8,2.0,3.48,-3.31
7668,Consumer Products & Services,1.93,1.12,2.77,1.02,18.0,10.88,5.64,6.0,3.11,10.67
7253,Energy,0.255,0.135,0.51,0.48,-4.0,-6.79,-26.63,0.0,0.0,-14.15
3034,Industrial Products & Services,7.0,6.7,10.26,2.95,15.0,46.71,6.67,35.0,5.0,15.83
5138,Plantation,1.39,1.25,2.14,2.07,35.0,3.93,2.83,2.5,1.8,1.9
2062,Transportation & Logistics,0.475,0.42,0.72,1.03,8.0,5.93,12.48,1.0,2.11,5.76
