code,name,Price,52w low,52w high,EPS GR min,P/E mid,DPayout avg,intrinsic,Price_A,Price_B
5053,OSK HOLDINGS BERHAD,0.815,0.64,1.05,6.93,22.84,98.15,6.65,4.99,0.78
5049,COUNTRY VIEW BERHAD,1.08,0.92,1.5,0.0,1.27,21.76,6.58,4.94,1.11
5040,MERIDIAN BERHAD,0.07,0.04,0.265,0.0,-10.0,9.49,0.38,0.29,0.11
5038,KSL HOLDINGS BERHAD,0.615,0.405,0.915,5.51,8.62,13.63,2.98,2.24,0.57
5020,GLOMAC BERHAD,0.29,0.24,0.395,0.0,12.02,62.53,2.36,1.77,0.29
4596,SAPURA RESOURCES BERHAD,0.41,0.345,0.72,0.0,16.5,12.19,2.3,1.72,0.47
4464,PEGASUS HEIGHTS BERHAD,0.01,0.005,0.016,0.0,-2.25,0.0,0.05,0.04,0.01
4375,SOUTH MALAYSIA INDUSTRIES BERHAD,0.15,0.07,0.3,0.0,5.5,0.0,0.75,0.56,0.15
4286,SEAL INCORPORATED BERHAD,0.235,0.12,0.36,4.65,1.79,0.0,1.04,0.78,0.2
4251,I-BERHAD,0.17,0.095,0.42,3.53,36.95,43.99,1.11,0.83,0.2
4057,ASIAN PAC HOLDINGS BERHAD,0.105,0.055,0.14,42.69,5.8,0.08,0.2,0.15,0.08
4022,TADMAX RESOURCES BERHAD,0.21,0.12,0.33,0.0,9.66,0.0,1.05,0.79,0.19
3913,MUI PROPERTIES BERHAD,0.185,0.145,0.255,15.5,8.12,0.0,0.61,0.46,0.18
3743,SUNSURIA BERHAD,0.46,0.37,0.8,41.05,41.58,0.0,0.92,0.69,0.51
3573,LIEN HOE CORPORATION BERHAD,0.205,0.175,0.3,0.0,1.0,0.0,1.0,0.75,0.22
3557,ECOFIRST CONSOLIDATED BHD,0.34,0.295,0.39,8.3,15.0,0.0,1.35,1.01,0.33
3484,DAMANSARA REALTY BHD,0.405,0.15,0.52,14.76,-26.06,0.0,1.36,1.02,0.27
3417,EASTERN & ORIENTAL BERHAD,0.4,0.3,0.845,17.17,35.0,40.5,1.79,1.34,0.48
3239,BERJAYA ASSETS BERHAD,0.285,0.245,0.315,0.0,-39.88,23.61,1.73,1.3,0.27
3174,LAND & GENERAL BERHAD,0.095,0.05,0.165,0.7,25.88,23.81,0.6,0.45,0.09
3158,YNH PROPERTY BERHAD,2.71,1.75,2.8,0.0,83.12,17.84,15.97,11.98,2.1
2429,TANCO HOLDINGS BERHAD,0.05,0.02,0.08,0.0,10.38,0.0,0.25,0.19,0.04
2305,AYER HOLDINGS BERHAD,5.16,3.8,6.21,9.82,30.12,17.37,23.06,17.29,4.6
2259,TALAM TRANSFORM BERHAD,0.025,0.01,0.045,0.0,-2.75,0.0,0.1,0.08,0.02
2224,SELANGOR DREDGING BERHAD,0.46,0.325,0.695,3.53,10.0,32.28,2.75,2.06,0.45
1724,PARAMOUNT CORPORATION BERHAD,0.725,0.63,1.3019999999999998,4.72,11.44,42.49,4.5,3.38,0.85
1694,MENANG CORPORATION (M) BERHAD,0.24,0.2,0.385,0.0,17.75,0.0,1.2,0.9,0.26
1651,MALAYSIAN RESOURCES CORPORATION BERHAD,0.475,0.28,1.01,0.0,23.0,20.61,2.89,2.17,0.52
1589,ISKANDAR WATERFRONT CITY BERHAD,0.495,0.275,1.19,0.0,6.5,0.0,2.5,1.88,0.58
1538,SYMPHONY LIFE BERHAD,0.385,0.25,0.465,3.65,14.88,36.24,2.35,1.76,0.32
1503,GUOCOLAND (MALAYSIA) BERHAD,0.575,0.37,0.75,0.0,16.2,32.52,3.78,2.84,0.5
1147,GLOBAL ORIENTAL BERHAD,0.25,0.135,0.29,0.0,10.71,0.0,1.25,0.94,0.19
1007,AMCORP PROPERTIES BERHAD,0.345,0.26,0.58,0.0,22.16,32.84,2.26,1.69,0.37
9695,PLS PLANTATIONS BERHAD,0.555,0.35,0.99,0.0,-18.25,0.0,2.8,2.1,0.56
9059,TSH RESOURCES BERHAD,0.71,0.56,1.59,0.0,14.04,51.2,5.37,4.03,0.9
8982,CEPATWAWASAN GROUP BERHAD,0.41,0.285,0.74,0.0,21.36,30.61,2.68,2.01,0.44
7501,HARN LEN CORPORATION BHD,0.395,0.29,0.7,0.0,42.25,0.65,2.01,1.51,0.43
7382,GOLDEN LAND BERHAD,0.35,0.3,0.52,0.0,47.16,17.09,2.05,1.54,0.37
7054,ASTRAL ASIA BERHAD,0.11,0.05,0.235,0.0,55.0,29.41,0.71,0.53,0.11
6572,KWANTAS CORPORATION BERHAD,0.54,0.46,0.9,0.0,79.75,23.13,3.32,2.49,0.61
6262,INNOPRISE PLANTATIONS BERHAD,0.6,0.4,0.995,19.89,82.58,10.97,1.99,1.49,0.6
5285,SIME DARBY PLANTATION BERHAD,4.61,3.82,5.63,0.0,-69.4,5.72,24.37,18.28,4.42
5254,BOUSTEAD PLANTATIONS BERHAD,0.3,0.2,0.79,0.0,5.71,148.36,3.73,2.8,0.39
5222,FGV HOLDINGS BERHAD,0.92,0.715,1.59,0.0,17.31,0.0,4.6,3.45,1.0
5138,HAP SENG PLANTATIONS HOLDINGS BERHAD,1.39,1.25,2.14,0.0,31.03,61.89,11.25,8.44,1.54
5135,SARAWAK PLANTATION BERHAD,1.45,1.3,2.11,0.0,47.16,48.5,10.77,8.08,1.57
5126,SARAWAK OIL PALMS BERHAD,2.48,1.9,4.22,0.0,21.2,18.25,14.66,11.0,2.67
5113,RIMBUNAN SAWIT BERHAD,0.255,0.115,0.465,0.0,30.84,14.42,1.49,1.12,0.23
5112,TH PLANTATIONS BERHAD,0.305,0.185,0.685,0.0,11.66,35.55,2.03,1.52,0.35
5069,BLD PLANTATION BHD.,5.2,5.0,6.78,6.69,-42.08,0.0,21.51,16.13,5.59
5047,NPC RESOURCES BERHAD,1.9,1.68,2.0,0.0,-123.75,9.16,10.37,7.78,1.79
5029,FAR EAST HOLDINGS BERHAD,2.3,2.0,2.79,2.19,41.54,39.89,15.08,11.31,2.26
5027,KIM LOONG RESOURCES BERHAD,1.1,0.895,1.64,0.0,32.38,51.6,8.34,6.26,1.14
5026,MHC PLANTATIONS BHD,0.415,0.27,0.77,13.08,26.25,41.49,2.07,1.55,0.44
5012,TA ANN HOLDINGS BERHAD,2.15,1.81,3.56,6.52,20.2,34.51,12.02,9.02,2.39
4936,MALPAC HOLDINGS BERHAD,0.8,0.42,0.86,0.0,65.5,0.0,4.0,3.0,0.57
4383,JAYA TIASA HOLDINGS BHD,0.505,0.27,1.12,0.0,54.22,11.09,2.78,2.08,0.55
4316,SIN HENG CHAN (MALAYA) BERHAD,0.28,0.205,0.42,0.0,-7.25,0.0,1.4,1.05,0.28
3948,DUTALAND BERHAD,0.35,0.275,0.475,0.0,0.5,0.0,1.75,1.31,0.34
2607,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,0.52,0.45,0.63,0.0,-1.0,0.0,2.6,1.95,0.51
2593,UNITED MALACCA BERHAD,4.3,4.0,5.45,0.0,11.31,142.44,52.12,39.09,4.48
2569,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,2.51,2.35,3.15,0.0,-29.66,11.35,13.97,10.48,2.61
